,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,c_range,c_angle,id_new
48,6657725,1.0,11.984375,17.8828125,0.109375,0.421875,0.28125,0.0,2.0,35.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.527197380308966,33.82847678954031,1008.0
49,6757914,1.0,11.9765625,17.8671875,0.109375,0.390625,0.265625,0.0,2.0,36.0,21.078125,0.0,-0.0042699999999999995,0.0,21.50986839747195,33.83436000705494,1008.0
50,6860173,1.0,11.9765625,17.859375,0.1171875,0.3671875,0.2421875,0.0,2.0,37.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.503379378763498,33.84595045926239,1008.0
51,6957721,1.0,12.0078125,17.828125,0.125,0.3125,0.2109375,0.0,2.0,38.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.49487385519583,33.961527353353375,1008.0
52,7058939,1.0,12.0234375,17.8046875,0.1328125,0.28125,0.1875,0.0,2.0,39.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.484178976378466,34.03100661747793,1008.0
53,7161818,1.0,12.0234375,17.796875,0.140625,0.2578125,0.171875,0.0,2.0,40.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.477704930509482,34.04267027295005,1008.0
54,7257727,1.0,11.9921875,17.8046875,0.1484375,0.2578125,0.171875,0.0,2.0,41.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.46670580242373,33.961883558545786,1008.0
55,7363866,1.0,12.0,17.7890625,0.15625,0.2265625,0.15625,0.0,2.0,42.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.45811605497804,34.00249218808427,1008.0
56,7460764,1.0,12.0078125,17.7734375,0.15625,0.203125,0.140625,0.0,2.0,43.0,21.1640625,0.0,-0.0042699999999999995,0.0,21.449537095274632,34.04313332171746,1008.0
57,7559089,1.0,12.0,17.7734375,0.1640625,0.1953125,0.1328125,0.0,2.0,44.0,21.1640625,0.0,-0.0042699999999999995,6.1e-05,21.445164503132315,34.02583767544321,1008.0
58,7660288,1.0,11.9921875,17.765625,0.171875,0.1796875,0.1171875,0.0,2.0,45.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.434318106153533,34.02021545230158,1008.0
59,7761536,1.0,11.984375,17.7578125,0.171875,0.171875,0.109375,0.0,2.0,46.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.42347191576989,34.014587536312035,1008.0
60,7862354,1.0,11.984375,17.7421875,0.1796875,0.15625,0.1015625,0.0,2.0,47.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.410522212822862,34.037978113888926,1008.0
61,7963362,1.0,12.015625,17.7109375,0.1796875,0.1171875,0.078125,0.0,2.0,48.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.40216230359753,34.15413172862918,1008.0
62,8063406,1.0,12.0234375,17.6953125,0.1875,0.1015625,0.0625,0.0,2.0,49.0,21.078125,0.0,-0.0042699999999999995,6.1e-05,21.393623671296606,34.19493978390675,1008.0
