,Unnamed: 0,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,new_id,sub_ID_count
2231,2682,24454662,8.0,-3.4609375,8.4921875,0.0,-0.0078125,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2232,2690,25254224,8.0,-3.46875,8.4921875,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2233,2695,25750849,8.0,-3.4765625,8.4921875,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2234,2701,26349601,8.0,-3.4765625,8.5,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2235,2709,27152155,8.0,-3.484375,8.5,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2236,2744,30654473,8.0,-3.4765625,8.5078125,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2237,2781,34353304,8.0,-3.484375,8.5078125,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2238,2832,39457533,8.0,-3.4921875,8.5,0.0,0.0,0.0,0.0,4.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2239,2852,41449949,8.0,-3.46875,8.5078125,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2240,2916,47856164,8.0,-3.46875,8.515625,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2241,2922,48454107,8.0,-3.4609375,8.515625,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2242,2970,53254054,8.0,-3.453125,8.515625,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2243,2973,53553129,8.0,-3.4453125,8.515625,0.0,0.0,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2244,2981,54352515,8.0,-3.5,8.5,0.0,0.03125,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2245,2983,54551257,8.0,-3.5078125,8.4921875,0.0,0.03125,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2246,2985,54754735,8.0,-3.515625,8.4921875,0.0,0.03125,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002928,0.0,8.0_127,103
2247,2989,55153925,8.0,-3.5234375,8.4921875,0.0,0.0234375,0.0,0.0,2.0,255.0,9.1953125,0.0,0.002989,0.0,8.0_127,103
2248,2995,55755139,8.0,-3.4921875,8.4921875,0.0,0.0,-0.046875,0.0,2.0,255.0,9.1171875,-0.0546875,0.002928,0.0,8.0_127,103
2249,2996,55850618,8.0,-3.484375,8.484375,0.0,-0.015625,-0.046875,0.0,2.0,255.0,9.0390625,-0.0546875,0.002928,0.0,8.0_127,103
2250,2998,56047156,8.0,-3.5078125,8.4453125,0.0,0.0,-0.125,0.0,3.0,255.0,0.0,0.0,0.002989,0.0,8.0_127,103
2251,2999,56148457,8.0,-3.6015625,8.390625,0.0,0.1015625,-0.234375,0.0,4.0,255.0,9.1171875,-0.1796875,0.00305,0.0,8.0_127,103
2252,3000,56253546,8.0,-3.515625,8.3125,0.0,0.015625,-0.265625,0.0,4.0,255.0,7.2421875,-0.2421875,0.002989,0.0,8.0_127,103
2253,3001,56351914,8.0,-3.5390625,8.265625,0.0,0.046875,-0.3515625,0.0,2.0,255.0,8.7890625,-0.3125,0.00305,0.0,8.0_127,103
2254,3002,56452123,8.0,-3.578125,8.203125,0.0,0.078125,-0.4375,0.0,2.0,255.0,8.7890625,-0.375,0.003111,0.0,8.0_127,103
2255,3003,56557360,8.0,-3.5,8.109375,0.0,0.0078125,-0.40625,0.0,2.0,255.0,7.0859375,-0.375,0.00305,0.0,8.0_127,103
2256,3004,56655729,8.0,-3.4375,8.0078125,0.0,-0.03125,-0.453125,0.0,2.0,255.0,7.0859375,-0.4375,0.00305,0.0,8.0_127,103
2257,3005,56755028,8.0,-3.5078125,7.9296875,0.0,0.0390625,-0.4921875,0.0,2.0,255.0,8.7109375,-0.4375,0.003111,0.0,8.0_127,103
2258,3006,56851467,8.0,-3.65625,7.8359375,0.0,0.1875,-0.5625,0.0,2.0,255.0,8.953125,-0.4375,0.0032939999999999996,0.0,8.0_127,103
2259,3007,56950816,8.0,-3.765625,7.7578125,0.0,0.28125,-0.6171875,0.0,2.0,255.0,9.0390625,-0.4375,0.003355,0.0,8.0_127,103
2260,3008,57050746,8.0,-3.796875,7.6953125,0.0,0.28125,-0.6171875,0.0,3.0,255.0,0.0,0.0,0.003416,0.0,8.0_127,103
2261,3009,57154395,8.0,-3.9453125,7.5859375,0.0,0.40625,-0.765625,0.0,4.0,255.0,8.953125,-0.5,0.003599,0.0,8.0_127,103
2262,3010,57253804,8.0,-3.9921875,7.5078125,0.0,0.40625,-0.765625,0.0,3.0,255.0,0.0,0.0,0.00366,0.0,8.0_127,103
2263,3011,57353393,8.0,-4.078125,7.4140625,0.0,0.453125,-0.8828125,0.0,4.0,255.0,8.625,-0.5625,0.003721,0.0,8.0_127,103
2264,3012,57450131,8.0,-4.1640625,7.3046875,0.0,0.4921875,-0.921875,0.0,4.0,255.0,8.3828125,-0.5625,0.003843,0.0,8.0_127,103
2265,3013,57549217,8.0,-4.3515625,7.140625,0.0,0.640625,-0.9765625,0.0,2.0,255.0,8.46875,-0.5,0.004026,0.0,8.0_127,103
2266,3014,57651846,8.0,-4.4765625,7.015625,0.0,0.6953125,-1.1015625,0.0,2.0,255.0,8.46875,-0.5625,0.004148,0.0,8.0_127,103
2267,3015,57750835,8.0,-4.6328125,6.8671875,0.0,0.78125,-1.203125,0.0,2.0,255.0,8.625,-0.5625,0.004331000000000001,0.0,8.0_127,103
2268,3016,57857164,8.0,-4.734375,6.7265625,0.0,0.8046875,-1.25,0.0,2.0,255.0,8.140625,-0.5625,0.004453,0.0,8.0_127,103
2269,3017,57957973,8.0,-4.8125,6.6015625,0.0,0.8046875,-1.25,0.0,3.0,255.0,0.0,0.0,0.004575,0.0,8.0_127,103
2270,3018,58056536,8.0,-4.9375,6.4453125,0.0,0.84375,-1.3515625,0.0,4.0,255.0,8.140625,-0.5625,0.004697,0.0,8.0_127,103
2271,3019,58163665,8.0,-5.0234375,6.3046875,0.0,0.84375,-1.3515625,0.0,3.0,255.0,0.0,0.0,0.004819,0.0,8.0_127,103
2272,3020,58254244,8.0,-5.109375,6.171875,0.0,0.84375,-1.3515625,0.0,3.0,255.0,0.0,0.0,0.004941,0.0,8.0_127,103
2273,3021,58357093,8.0,-5.1953125,6.03125,0.0,0.84375,-1.3515625,0.0,3.0,254.0,0.0,0.0,0.005063000000000001,0.0,8.0_127,103
2274,3022,58457742,8.0,-5.28125,5.8984375,0.0,0.84375,-1.3515625,0.0,3.0,253.0,0.0,0.0,0.005185,0.0,8.0_127,103
2275,3023,58551618,8.0,-5.15625,6.2265625,0.015625,0.515625,-1.359375,0.0,4.0,254.0,10.6640625,-0.7578125,0.004941,0.0,8.0_127,103
2276,3024,58657447,8.0,-5.203125,6.0859375,0.015625,0.515625,-1.359375,0.0,3.0,253.0,0.0,0.0,0.005063000000000001,0.0,8.0_127,103
2277,3025,58761396,8.0,-5.234375,6.3125,0.046875,0.3984375,-1.296875,0.0,4.0,254.0,10.6640625,-0.7578125,0.004941,0.0,8.0_127,103
2278,3026,58852435,8.0,-5.2734375,6.1796875,0.046875,0.3984375,-1.296875,0.0,3.0,253.0,0.0,0.0,0.005063000000000001,0.0,8.0_127,103
2279,3027,58952234,8.0,-5.3125,6.046875,0.046875,0.3984375,-1.296875,0.0,3.0,252.0,0.0,0.0,0.005124,0.0,8.0_127,103
2280,3028,59059427,8.0,-5.3515625,5.921875,0.046875,0.3984375,-1.296875,0.0,3.0,251.0,0.0,0.0,0.005185,0.0,8.0_127,103
2281,3029,59159716,8.0,-5.3984375,5.7890625,0.046875,0.3984375,-1.296875,0.0,3.0,250.0,0.0,0.0,0.005307,0.0,8.0_127,103
2282,3030,59252375,8.0,-5.4375,5.65625,0.046875,0.3984375,-1.296875,0.0,3.0,249.0,0.0,0.0,0.005368,0.0,8.0_127,103
2283,3031,59347704,8.0,-5.4765625,5.5234375,0.046875,0.3984375,-1.296875,0.0,3.0,248.0,0.0,0.0,0.00549,0.0,8.0_127,103
2284,3032,59448763,8.0,-4.4296875,6.9921875,0.0546875,-0.6484375,-0.6796875,1.0,4.0,249.0,9.8515625,-1.2734375,0.004148,0.0,8.0_127,103
2285,3033,59548297,8.0,-4.2578125,7.34375,0.0,-0.734375,-1.0859375,1.0,4.0,250.0,9.6875,-1.3359375,0.003904,0.0,8.0_127,103
2286,3034,59648906,8.0,-4.1953125,7.4375,0.0,-0.75,-1.03125,1.0,2.0,251.0,9.5234375,-1.2734375,0.003782,0.0,8.0_127,103
2287,3035,59749555,8.0,-4.203125,7.4296875,0.0,-0.6875,-1.0,1.0,2.0,252.0,9.4453125,-1.2109375,0.003843,0.0,8.0_127,103
2288,3036,59852594,8.0,-4.1328125,7.328125,0.0,-0.6875,-1.0,1.0,3.0,252.0,0.0,0.0,0.003782,0.0,8.0_127,103
2289,3037,59953823,8.0,-4.0625,7.2265625,0.0,-0.6875,-1.0,1.0,3.0,252.0,0.0,0.0,0.003782,0.0,8.0_127,103
2290,3038,159173,9.0,7.671875,39.4453125,0.1484375,-0.0078125,0.0,0.0,1.0,4.0,40.9375,0.0,-0.001403,0.0,9.0_128,5
2291,3039,358550,9.0,8.109375,38.578125,0.0,-0.1796875,-0.03125,0.0,2.0,6.0,37.84375,0.0,-0.001525,0.0,9.0_128,5
2292,3040,762733,9.0,8.1328125,38.6875,0.125,-0.1875,-0.5390625,0.0,2.0,10.0,40.9375,0.0,-0.001525,0.0,9.0_128,5
2293,3041,867200,9.0,8.15625,38.625,0.125,-0.1875,-0.5390625,0.0,3.0,10.0,0.0,0.0,-0.001525,0.0,9.0_128,5
2294,3042,958847,9.0,8.171875,38.5703125,0.125,-0.1875,-0.5390625,0.0,3.0,10.0,0.0,0.0,-0.001525,0.0,9.0_128,5
2295,3043,1653627,9.0,-4.2421875,36.859375,0.0,0.0,0.0,0.0,1.0,0.0,37.109375,0.0,0.0008539999999999999,0.0,9.0_129,12
2296,3044,1755266,9.0,-4.2890625,38.1796875,0.0,0.0,0.0,0.0,1.0,1.0,38.7421875,0.0,0.0008539999999999999,0.0,9.0_129,12
2297,3045,1859745,9.0,-5.1953125,37.640625,0.2109375,0.015625,0.0,0.0,1.0,2.0,37.515625,0.0,0.001037,0.0,9.0_129,12
2298,3046,1957873,9.0,-5.0,37.9296875,0.09375,0.0,0.0,0.0,1.0,3.0,38.8203125,0.0,0.000976,0.0,9.0_129,12
2299,3047,2053607,9.0,-4.890625,38.0625,0.03125,0.0,0.0,0.0,1.0,4.0,38.7421875,0.0,0.000976,0.0,9.0_129,12
2300,3048,2157655,9.0,-4.640625,37.8515625,0.1484375,-0.0625,0.0078125,0.0,2.0,5.0,37.109375,0.0,0.000915,0.0,9.0_129,12
2301,3049,2253993,9.0,-4.7890625,37.359375,0.375,0.0,0.0,0.0,2.0,6.0,35.2421875,0.0,0.000976,6.1e-05,9.0_129,12
2302,3050,2353970,9.0,-4.9375,37.3515625,0.3671875,0.078125,-0.046875,0.0,2.0,7.0,37.84375,-0.0546875,0.000976,6.1e-05,9.0_129,12
2303,3051,2455218,9.0,-4.9921875,37.015625,0.4921875,0.125,-0.015625,0.0,2.0,8.0,35.2421875,0.0,0.001037,6.1e-05,9.0_129,12
2304,3052,2556506,9.0,-4.9140625,37.1953125,0.4375,0.0546875,0.0,0.0,2.0,9.0,38.8203125,0.0,0.000976,6.1e-05,9.0_129,12
