,Unnamed: 0,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
971,5652,49488417.0,3.8000000000000114,46.80000000000007,-1.25,0.0,6.0,0.0,0.0,3.8000000000000114,45.54991,6_117,19
972,5653,49563428.0,3.6000000000000227,46.80000000000007,-1.5,-0.25,6.0,2.0,1.0,3.8000000000000114,45.86236250000007,6_117,19
973,5654,49633448.0,3.6000000000000227,46.600000000000016,-1.5,-0.25,6.0,2.0,0.5,3.4249500000000226,45.74970000000007,6_117,19
974,5656,49778506.0,3.6000000000000227,46.399999999999984,-1.75,-0.25,6.0,2.0,0.5,3.2373550000000226,44.42413000000001,6_117,19
975,5657,49848525.0,3.6000000000000227,46.200000000000045,-1.75,-0.25,6.0,2.0,0.5,3.424952500000023,45.174667499999984,6_117,19
976,5658,49923554.0,4.400000000000006,46.0,-0.75,1.25,6.0,1.0,2.5,3.412427500000023,44.88699250000005,6_117,19
977,5659,49993563.0,4.200000000000017,45.80000000000007,0.0,0.75,6.0,1.0,5.0,5.275112500000006,45.4749325,6_117,19
978,5660,50063581.0,4.200000000000017,45.399999999999984,0.0,0.5,6.0,1.0,6.5,4.725135000000017,45.80000000000007,6_117,19
979,5667,50568718.0,4.400000000000006,45.399999999999984,0.5,0.5,6.0,1.0,7.5,6.725685000000017,45.399999999999984,6_117,19
980,5668,50643758.0,4.400000000000006,45.600000000000016,0.75,0.5,6.0,1.0,7.5,4.775200000000006,45.775199999999984,6_117,19
981,5671,50863815.0,4.400000000000006,45.80000000000007,1.0,0.5,6.0,1.0,7.5,5.500285000000006,47.250427500000015,6_117,19
982,5672,50934024.0,-0.19999999999998866,53.399999999999984,0.0,0.0,6.0,1.0,5.5,4.751045000000006,46.50209000000007,6_117,19
983,5674,51078911.0,2.8421709430404014e-14,53.200000000000045,0.0,0.5,6.0,1.0,3.5,-0.19999999999998866,53.399999999999984,6_117,19
984,5677,51298989.0,2.8421709430404014e-14,53.399999999999984,-0.25,0.25,6.0,1.0,4.0,1.1003900000000284,53.200000000000045,6_117,19
989,5702,53319654.0,1.200000000000017,84.60000000000002,0.0,0.0,6.0,1.0,19.0,-4.399999999999976,42.0,6_120,6
990,5703,53394683.0,1.200000000000017,84.39999999999998,0.0,-0.25,6.0,1.0,19.0,1.200000000000017,84.60000000000002,6_120,6
991,5705,53539721.0,1.4000000000000057,84.39999999999998,0.0,0.75,6.0,1.0,19.0,0.837405000000017,84.39999999999998,6_120,6
992,5714,54184868.0,1.6000000000000227,84.39999999999998,0.0,0.5,6.0,1.0,18.5,6.238602500000006,84.39999999999998,6_120,6
993,5736,55770455.0,1.4000000000000057,84.60000000000002,0.0,0.0,6.0,1.0,17.5,9.527935000000024,84.39999999999998,6_120,6
994,5737,55845484.0,1.6000000000000227,84.60000000000002,0.0,0.0,6.0,1.0,17.5,1.4000000000000057,84.60000000000002,6_120,6
1003,5760,57510982.0,-15.999999999999973,159.60000000000005,-1.0,0.0,6.0,0.0,5.0,17.00000000000003,32.23743250000007,6_125,9
1004,5761,57580986.0,-16.199999999999992,159.20000000000005,-1.0,-0.25,6.0,0.0,7.5,-15.999999999999973,158.89996000000005,6_125,9
1005,5762,57656006.0,-16.799999999999983,159.0,-1.0,-0.75,6.0,0.0,8.0,-16.387549999999994,158.44980000000004,6_125,9
1006,5764,57801054.0,-16.99999999999997,159.0,-1.0,-0.75,6.0,0.0,8.0,-17.887859999999982,157.54952,6_125,9
1007,5765,57876373.0,-16.799999999999983,158.60000000000005,-1.0,-0.5,6.0,1.0,7.0,-17.56489249999997,158.24681,6_125,9
1008,5767,58021131.0,-16.599999999999994,158.60000000000005,-1.25,-0.25,6.0,1.0,6.0,-17.523789999999984,157.15242000000006,6_125,9
1009,5769,58166216.0,-16.99999999999997,158.60000000000005,-1.25,-0.5,6.0,1.0,5.5,-16.962712499999995,156.78643750000006,6_125,9
1010,5770,58236275.0,-17.399999999999974,158.8000000000001,-1.25,-1.0,6.0,1.0,5.5,-17.35029499999997,157.72426250000004,6_125,9
