,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11505,32558529,39.0,1.6640625,46.28125,0.0859375,0.1875,0.0078125,0.0,4.0,8.0,48.96875,0.0,-0.000183,0.0
11506,32657888,39.0,1.6953125,46.2734375,0.078125,0.140625,0.0,0.0,2.0,9.0,44.03125,0.0,-0.000183,0.0
11507,32760767,39.0,1.6796875,46.2734375,0.078125,0.140625,0.0,0.0,3.0,9.0,0.0,0.0,-0.000183,0.0
11508,32855286,39.0,1.4375,46.4296875,0.0859375,0.328125,1.875,1.0,4.0,10.0,47.171875,2.15625,-0.000122,0.0
11509,32957534,39.0,1.40625,46.6171875,0.0859375,0.328125,1.875,1.0,3.0,10.0,0.0,0.0,-0.000122,0.0
11510,33059540,39.0,1.3671875,46.8046875,0.0859375,0.328125,1.875,1.0,3.0,10.0,0.0,0.0,-0.000122,0.0
11511,33155879,39.0,1.2421875,46.96875,0.09375,0.3984375,1.3046875,1.0,4.0,11.0,47.5703125,1.265625,-0.000122,0.0
11512,33254808,39.0,1.0859375,47.28125,0.296875,0.4921875,0.109375,0.0,4.0,12.0,48.96875,0.0,-6.1e-05,0.0
11513,33359547,39.0,1.03125,47.3125,0.3125,0.4921875,0.015625,0.0,2.0,13.0,48.96875,0.0,-6.1e-05,0.0
11514,33460545,39.0,0.984375,47.3125,0.3125,0.4921875,0.015625,0.0,3.0,13.0,0.0,0.0,-6.1e-05,0.0
11515,33559157,39.0,0.9375,47.3203125,0.3125,0.4921875,0.015625,0.0,3.0,13.0,0.0,0.0,-6.1e-05,0.0
11516,34057887,39.0,13.3125,30.5,0.0,0.0,-39.875,1.0,1.0,0.0,33.2890625,-39.875,-0.0030499999999999998,0.0
11517,34559135,39.0,10.28125,31.4765625,0.515625,0.0,21.578125,1.0,1.0,0.0,33.125,21.578125,-0.0023179999999999997,6.1e-05
11518,34661574,39.0,11.453125,33.625,0.5390625,0.0390625,20.21875,1.0,1.0,1.0,35.6484375,19.0703125,-0.00244,6.1e-05
11519,34758333,39.0,11.0,34.1328125,0.0,-0.09375,24.515625,1.0,1.0,2.0,33.7734375,23.5703125,-0.0023179999999999997,0.0
11520,35260777,39.0,11.484375,33.9921875,0.0,0.0,-12.8359375,1.0,1.0,0.0,35.890625,-12.8359375,-0.002379,0.0
11521,35364046,39.0,10.9453125,32.3125,0.0,0.0,-12.671875,1.0,1.0,1.0,34.1015625,-12.0,-0.00244,0.0
11522,35961783,39.0,11.390625,32.5546875,0.6875,0.1484375,39.25,1.0,1.0,1.0,33.609375,36.8671875,-0.0025009999999999998,0.000122
11523,36460942,39.0,4.4296875,49.6015625,0.296875,0.0,13.9375,1.0,1.0,0.0,49.8046875,13.9375,-0.00061,0.0
