,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,gt_range,gt_angle,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
1169,51224740,-5.599999999999994,101.60000000000002,6.75,-0.75,9.0,0.0,23.5,101.75421367196547,-3.154842864791973,-6.1,105.9,9_323,20
1170,51299779,-5.799999999999983,102.20000000000005,6.75,-0.75,9.0,0.0,22.5,102.36444695303155,-3.248135449447594,-6.2,106.7,9_323,20
1171,51369788,-5.799999999999983,102.60000000000002,6.5,-0.75,9.0,0.0,22.0,102.76380685825143,-3.2354991097543855,-6.3,106.9,9_323,20
1172,51439817,-5.999999999999972,103.20000000000005,6.5,-0.75,9.0,0.0,21.5,103.37427146055255,-3.327404241726552,-6.3,107.2,9_323,20
1173,51514836,-5.999999999999972,103.60000000000002,6.5,-0.75,9.0,0.0,20.5,103.77359972555642,-3.3145858206434724,-6.6,108.1,9_323,20
1174,51584869,-5.999999999999972,104.0,6.5,-0.75,9.0,0.0,20.5,104.17293314484334,-3.3018656744349877,-6.5,108.2,9_323,20
1175,51659889,-6.199999999999989,104.60000000000002,6.5,-0.75,9.0,0.0,22.5,104.78358650094015,-3.392148076868158,-6.6,108.9,9_323,20
1176,51729918,-6.199999999999989,105.0,6.25,-0.75,9.0,0.0,22.0,105.18288834216334,-3.379255611746153,-6.7,109.2,9_323,20
1177,51804937,-6.199999999999989,105.39999999999998,6.25,-0.75,9.0,0.0,22.5,105.58219546874366,-3.3664606634297956,-6.8,109.7,9_323,20
1178,51874936,-6.399999999999977,105.80000000000007,6.25,-0.75,9.0,0.0,22.5,105.99339602069561,-3.461689018147288,-6.7,109.8,9_323,20
1179,52019994,-6.399999999999977,106.80000000000007,6.25,-1.0,9.0,0.0,20.0,106.99158845442017,-3.429353919742142,-7.5,114.9,9_324,34
1180,52094959,-6.599999999999994,107.20000000000005,6.25,-1.0,9.0,0.0,22.5,107.40297947450065,-3.52309170985994,-7.1,111.5,9_324,34
1181,52164989,-6.799999999999983,107.80000000000007,6.25,-1.0,9.0,0.0,23.0,108.01425831805732,-3.609422717076094,-7.3,111.6,9_324,34
1182,52240028,-6.599999999999994,108.20000000000005,6.25,-1.0,9.0,0.0,23.5,108.40110700541766,-3.490611670669462,-7.6,112.5,9_324,34
1183,52315037,-6.599999999999994,108.60000000000002,6.25,-0.75,9.0,0.0,22.5,108.80036764643768,-3.4777865197981583,-7.4,112.9,9_324,34
1184,52385056,-6.599999999999994,109.0,6.0,-0.75,9.0,0.0,22.0,109.19963369901933,-3.4650551533576484,-7.1,113.0,9_324,34
1185,52460095,-6.599999999999994,109.39999999999998,6.0,-0.75,9.0,0.0,21.5,109.59890510402006,-3.4524165476353668,-7.2,113.5,9_324,34
1186,52529854,-6.799999999999983,109.80000000000007,6.0,-0.75,9.0,0.0,21.0,110.01036314820534,-3.54384641096206,-7.1,113.6,9_324,34
1187,52599897,-6.799999999999983,110.20000000000005,5.75,-0.75,9.0,0.0,21.5,110.40960103179438,-3.5310156887880093,-7.3,114.0,9_324,34
1188,52675177,-6.999999999999972,110.60000000000002,5.75,-0.75,9.0,0.0,22.0,110.8212975921145,-3.6214847041173246,-7.4,114.5,9_324,34
1189,52745206,-6.999999999999972,111.0,5.5,-1.0,9.0,0.0,21.5,111.22050170719426,-3.60846885256633,-7.5,114.6,9_324,34
1190,52820235,-6.999999999999972,111.39999999999998,5.5,-0.75,9.0,0.0,22.0,111.61971152085995,-3.595546103185267,-7.8,115.1,9_324,34
1191,52890254,-7.199999999999989,111.80000000000007,5.5,-0.75,9.0,0.0,21.5,112.0316026842427,-3.6848006431651585,-7.5,115.3,9_324,34
1192,52965283,-7.199999999999989,112.20000000000005,5.5,-1.0,9.0,0.0,20.0,112.43077870405422,-3.6717000983706978,-7.8,115.9,9_324,34
1193,53035302,-7.399999999999977,112.60000000000002,5.25,-1.0,9.0,0.0,19.5,112.84289964370822,-3.7600349733863796,-7.9,116.1,9_324,34
1194,53105386,-7.399999999999977,113.0,5.25,-1.0,9.0,0.0,17.5,113.24204166297957,-3.7467630942133403,-8.1,116.3,9_324,34
1195,53180406,-7.399999999999977,113.39999999999998,5.25,-1.0,9.0,0.0,17.5,113.6411897157012,-3.733584445405053,-8.2,116.9,9_324,34
1196,53250155,-7.599999999999994,113.80000000000007,5.5,-1.0,9.0,0.0,16.0,114.05349621997571,-3.8207581166014677,-8.1,117.1,9_324,34
1197,53320444,-7.599999999999994,114.20000000000005,5.25,-1.0,9.0,0.0,15.5,114.45261028041261,-3.807414857624648,-8.3,117.7,9_324,34
1198,53395463,-7.599999999999994,114.60000000000002,5.25,-1.0,9.0,0.0,16.5,114.85173050502985,-3.7941643360139374,-8.4,118.1,9_324,34
1199,53465512,-7.799999999999983,115.0,5.25,-1.0,9.0,0.0,15.0,115.26421821189783,-3.88020566770485,-8.3,118.3,9_324,34
1200,53540511,-7.799999999999983,115.40000000000009,5.25,-1.0,9.0,0.0,15.5,115.66330446602338,-3.866796953767589,-8.5,118.9,9_324,34
1201,53610470,-7.799999999999983,115.80000000000007,5.0,-0.75,9.0,0.0,14.5,116.06239701126293,-3.8534804536020637,-8.5,119.1,9_324,34
1202,53680499,-7.799999999999983,116.0,5.0,-0.75,9.0,0.0,13.0,116.26194562280472,-3.846856487374852,-8.3,119.3,9_324,34
1203,53755508,-7.799999999999983,116.40000000000009,5.25,-0.75,9.0,0.0,12.5,116.66104748372535,-3.833676537088065,-8.4,119.8,9_324,34
1204,53825537,-7.999999999999972,116.80000000000007,5.0,-0.75,9.0,0.0,10.0,117.07365203153105,-3.9182488640673605,-8.3,120.1,9_324,34
1205,53900566,-7.999999999999972,117.20000000000005,5.0,-0.75,9.0,0.0,10.5,117.47272023750881,-3.904917443694354,-8.6,120.6,9_324,34
1206,53970585,-7.999999999999972,117.60000000000002,5.0,-0.75,9.0,0.0,10.0,117.87179476023942,-3.8916762940807423,-8.5,120.7,9_324,34
1207,54045604,-8.199999999999989,118.0,5.0,-0.75,9.0,0.0,10.0,118.28457211318812,-3.975180526880261,-8.6,121.4,9_324,34
1208,54115619,-8.199999999999989,118.20000000000005,5.0,-0.75,9.0,0.0,10.0,118.48409175918938,-3.9684758425618836,-8.7,121.5,9_324,34
1209,54185638,-8.199999999999989,118.60000000000002,5.0,-0.75,9.0,0.0,11.0,118.88313589403673,-3.9551339885613785,-8.7,121.7,9_324,34
